"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 08 18:43:01 YEKT 2024","Mon Jan 08 18:43:02 YEKT 2024","773","tests","test_courier_login","TestCourierLogin","","","Успешная создание курьера -  получен id",""
"passed","Mon Jan 08 18:43:02 YEKT 2024","Mon Jan 08 18:43:02 YEKT 2024","406","tests","test_courier_registration","TestCourierRegistration","","","Чтобы создать курьера, нужно передать в ручку все обязательные поля - логин",""
"failed","Mon Jan 08 18:43:00 YEKT 2024","Mon Jan 08 18:43:00 YEKT 2024","340","tests","test_courier_login","TestCourierLogin","","","Вход курьера с неверными учетными данными - логин",""
"failed","Mon Jan 08 18:43:01 YEKT 2024","Mon Jan 08 18:43:01 YEKT 2024","322","tests","test_courier_login","TestCourierLogin","","","если авторизоваться под несуществующим пользователем, запрос возвращает ошибку;",""
"passed","Mon Jan 08 18:43:04 YEKT 2024","Mon Jan 08 18:43:04 YEKT 2024","476","tests","test_order_creation","TestPostCreatingOrder","","","Создание заказа",""
"failed","Mon Jan 08 18:42:59 YEKT 2024","Mon Jan 08 18:43:00 YEKT 2024","366","tests","test_courier_login","TestCourierLogin","","","Успешный вход курьера в систему",""
"passed","Mon Jan 08 18:43:02 YEKT 2024","Mon Jan 08 18:43:03 YEKT 2024","363","tests","test_courier_registration","TestCourierRegistration","","","Чтобы создать курьера, нужно передать в ручку все обязательные поля - пароль",""
"passed","Mon Jan 08 18:43:02 YEKT 2024","Mon Jan 08 18:43:02 YEKT 2024","380","tests","test_courier_registration","TestCourierRegistration","","","Курьера можно создать",""
"failed","Mon Jan 08 18:43:03 YEKT 2024","Mon Jan 08 18:43:04 YEKT 2024","787","tests","test_courier_registration","TestCourierRegistration","","","Нельзя создать двух одинаковых курьеров",""
"failed","Mon Jan 08 18:43:00 YEKT 2024","Mon Jan 08 18:43:01 YEKT 2024","383","tests","test_courier_login","TestCourierLogin","","","Вход курьера с неверными учетными данными - пароль",""
"passed","Mon Jan 08 18:43:05 YEKT 2024","Mon Jan 08 18:43:23 YEKT 2024","18285","tests","test_order_list","TestOrderList","","","Получение списка заказов",""
"passed","Mon Jan 08 18:43:04 YEKT 2024","Mon Jan 08 18:43:04 YEKT 2024","378","tests","test_order_creation","TestPostCreatingOrder","","","Создание заказа",""
"passed","Mon Jan 08 18:43:04 YEKT 2024","Mon Jan 08 18:43:05 YEKT 2024","387","tests","test_order_creation","TestPostCreatingOrder","","","Создание заказа",""
